,x,y,z,path
0,5.628644163297248,9.19867591843833,8.75192295987131,../../ground truth/nuclei/out_c00_dr90_label.tif
1,22.81677409836877,9.033185296665758,6.689962622837199,../../ground truth/nuclei/out_c00_dr90_label.tif
2,22.61836734117647,26.020342644705885,15.707744,../../ground truth/nuclei/out_c00_dr90_label.tif
3,13.67688018195863,23.516334992704486,14.263662346579693,../../ground truth/nuclei/out_c00_dr90_label.tif
4,25.001823569849506,8.219339561521075,21.23678059733233,../../ground truth/nuclei/out_c00_dr90_label.tif
0,23.214028268949207,20.66721830536472,14.324524158125914,../../ground truth/nuclei/out_c90_dr90_label.tif
1,17.134946866676014,16.385006937159485,7.074364415997525,../../ground truth/nuclei/out_c90_dr90_label.tif
2,15.471836644024044,12.88932978181837,18.43247990702984,../../ground truth/nuclei/out_c90_dr90_label.tif
3,7.894288506148624,13.535732093756438,10.695337256271777,../../ground truth/nuclei/out_c90_dr90_label.tif
4,7.549581801887077,4.072327469362683,10.993616764175739,../../ground truth/nuclei/out_c90_dr90_label.tif
0,24.23922657729856,8.794290176523601,18.85317510428978,../../ground truth/nuclei/out_c00_dr10_label.tif
1,5.79517095128732,14.58122190257464,13.267047987428988,../../ground truth/nuclei/out_c00_dr10_label.tif
2,18.24666110399926,23.20534100899178,18.738719404043987,../../ground truth/nuclei/out_c00_dr10_label.tif
3,23.853623072865858,15.379318157419378,9.442781327744663,../../ground truth/nuclei/out_c00_dr10_label.tif
4,12.18058285925601,7.433682615444816,7.465722382039672,../../ground truth/nuclei/out_c00_dr10_label.tif
0,20.631404502579155,14.003515582219704,21.880638737973243,../../ground truth/nuclei/out_c90_dr10_label.tif
1,19.15950122393606,13.402967006391432,8.079964103493168,../../ground truth/nuclei/out_c90_dr10_label.tif
2,11.939781932228335,18.822129007954583,13.775514244664823,../../ground truth/nuclei/out_c90_dr10_label.tif
3,6.326193401790617,15.311777950521584,22.499872254143586,../../ground truth/nuclei/out_c90_dr10_label.tif
4,5.9008704294361065,9.289850704703388,11.945706291637116,../../ground truth/nuclei/out_c90_dr10_label.tif
0,22.693511398930468,41.2246842049388,6.97479043118588,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
1,37.584,68.202,5.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
2,0.648,20.736,0.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
3,36.45,53.46,1.2000000000000002,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
4,19.926000000000002,40.176,3.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
5,22.032,43.254000000000005,12.600000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
6,16.848,23.814,0.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
7,32.562,61.884,6.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
8,29.808,56.7,7.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
9,32.886,54.108000000000004,1.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
10,27.216,30.456,4.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
11,29.970000000000002,58.968,9.600000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
12,26.244,31.914,1.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
13,12.96,20.736,5.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
14,39.528,60.75,6.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
15,27.216,61.56,6.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
16,38.88,62.856,6.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
17,3.564,26.568,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
18,34.992000000000004,62.856,4.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
19,30.942,67.23,5.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
20,5.184,24.3,10.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
21,6.48,28.674,12.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
22,25.758,33.534,14.4,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
23,30.132,46.17,13.4,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
24,33.696,69.498,4.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
25,32.562,40.338,5.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
26,32.238,58.644,10.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
27,29.970000000000002,49.248000000000005,13.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
28,27.54,30.132,2.4000000000000004,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
29,33.372,67.392,7.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
30,14.094000000000001,30.942,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
31,28.35,57.834,12.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
32,11.988,26.73,11.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
33,10.692,23.490000000000002,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
34,9.072000000000001,27.702,8.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
35,27.702,51.354,9.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
36,28.026,54.756,2.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
37,23.976,28.998,2.4000000000000004,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
38,31.59,37.422000000000004,12.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
39,25.434,42.282000000000004,8.200000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
40,28.836000000000002,42.444,2.6,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
41,35.316,61.884,11.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
42,15.066,30.132,2.8000000000000003,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
43,8.748000000000001,26.73,11.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
44,29.484,45.36,1.4000000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
45,20.25,40.5,13.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
46,4.86,27.378,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
47,14.58,35.478,3.8000000000000003,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
48,14.58,31.428,1.2000000000000002,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
49,32.238,43.416000000000004,4.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
50,4.3740000000000006,28.512,5.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
51,33.372,65.934,0.6000000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
52,3.0780000000000003,28.674,7.6000000000000005,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
53,28.512,42.606,7.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
54,34.83,43.092,3.8000000000000003,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
55,32.238,63.018,8.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
56,29.322,45.036,3.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
57,28.026,36.288000000000004,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
58,21.384,37.26,3.8000000000000003,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
59,12.474,23.328,9.4,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
60,1.296,30.294,7.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
61,23.166,47.466,9.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
62,32.724000000000004,68.202,6.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
63,27.378,42.120000000000005,0.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
64,34.182,40.986000000000004,7.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
65,29.970000000000002,62.856,2.6,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
66,26.406000000000002,59.778,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
67,34.668,47.628,5.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
68,31.428,50.382000000000005,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
69,24.462,32.076,4.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
70,28.836000000000002,51.516,3.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
71,4.212,23.328,0.4,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
72,26.244,36.126,6.800000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
73,33.048,41.634,10.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
74,15.39,28.998,7.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
75,23.004,45.036,1.4000000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
76,30.132,53.622,2.2,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
77,15.876000000000001,33.858000000000004,12.0,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
78,31.752000000000002,37.908,10.600000000000001,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
79,16.848,32.238,1.8,../../ground truth/FISH/celegans_dyn-90_ceff-0_label.ics.ome.tiff
